timedate,value
03/11/21 21:09:59,56
03/11/21 21:10:02,58
03/11/21 21:10:11,57
03/11/21 21:10:17,59
03/11/21 21:10:20,61
03/11/21 21:10:26,63
03/11/21 21:10:30,65
03/11/21 21:10:35,67
03/11/21 21:10:42,68
03/11/21 21:10:48,69
03/11/21 21:10:53,67
03/11/21 21:10:55,65
03/11/21 21:10:58,68
03/11/21 21:11:03,70
03/11/21 21:11:07,70
03/11/21 21:11:16,71
03/11/21 21:11:20,73
03/11/21 21:11:23,75
03/11/21 21:11:29,77
03/11/21 21:11:35,74
03/11/21 21:11:45,74
03/11/21 21:11:52,75
03/11/21 21:11:59,74
03/11/21 21:12:05,73
03/11/21 21:12:12,72
03/11/21 21:12:14,74
03/11/21 21:12:16,76
03/11/21 21:12:20,71
03/11/21 21:12:25,75
03/11/21 21:12:32,77
03/11/21 21:12:34,79
03/11/21 21:12:38,81
03/11/21 21:12:41,80
03/11/21 21:12:44,74
03/11/21 21:12:47,71
03/11/21 21:12:52,69
03/11/21 21:12:57,69
03/11/21 21:13:00,68
03/11/21 21:13:05,68
03/11/21 21:13:11,70
03/11/21 21:13:15,72
03/11/21 21:13:17,74
03/11/21 21:13:27,74
03/11/21 21:13:30,76
03/11/21 21:13:36,78
03/11/21 21:13:41,80
03/11/21 21:13:48,81
03/11/21 21:13:54,82
03/11/21 21:14:01,81
03/11/21 21:14:03,81
03/11/21 21:14:07,81
03/11/21 21:14:13,80
03/11/21 21:14:15,80
03/11/21 21:14:19,78
03/11/21 21:14:22,75
03/11/21 21:14:24,72
03/11/21 21:14:27,75
03/11/21 21:14:32,77
03/11/21 21:14:39,78
03/11/21 21:14:45,79
03/11/21 21:14:50,79
03/11/21 21:14:54,79
03/11/21 21:14:56,77
03/11/21 21:15:02,76
03/11/21 21:15:04,76
03/11/21 21:15:07,79
03/11/21 21:15:10,77
03/11/21 21:15:15,72
03/11/21 21:15:17,67
03/11/21 21:15:25,69
03/11/21 21:15:30,71
03/11/21 21:15:37,72
03/11/21 21:15:41,74
03/11/21 21:15:51,75
03/11/21 21:15:59,75
03/11/21 21:16:01,77
03/11/21 21:16:04,75
03/11/21 21:16:08,75
03/11/21 21:16:14,76
03/11/21 21:16:20,75
03/11/21 21:16:24,73
03/11/21 21:16:28,71
03/11/21 21:16:38,71
03/11/21 21:16:43,73
03/11/21 21:16:53,73
03/11/21 21:17:00,71
03/11/21 21:17:09,72
03/11/21 21:17:16,70
03/11/21 21:17:19,68
03/11/21 21:17:27,66
03/11/21 21:17:32,64
03/11/21 21:17:38,63
03/11/21 21:17:44,61
03/11/21 21:17:54,62
03/11/21 21:17:56,115
03/11/21 21:17:59,120
03/11/21 21:18:02,77
03/11/21 21:18:04,67
03/11/21 21:18:14,67
03/11/21 21:18:16,69
03/11/21 21:18:24,68
03/11/21 21:18:29,70
03/11/21 21:18:34,70
03/11/21 21:18:41,73
03/11/21 21:18:47,75
03/11/21 21:18:53,70
03/11/21 21:18:56,73
03/11/21 21:19:06,73
03/11/21 21:19:12,74
03/11/21 21:19:14,0
03/11/21 21:19:20,81
03/11/21 21:19:22,83
03/11/21 21:19:24,86
03/11/21 21:19:26,86
03/11/21 21:19:28,78
03/11/21 21:19:34,76
