At,Heartrate
07-11-2021 00:00:22,85
07-11-2021 00:00:23,84
07-11-2021 00:00:25,85
07-11-2021 00:00:27,84
07-11-2021 00:00:33,84
07-11-2021 00:00:40,84
07-11-2021 00:00:44,84
07-11-2021 00:00:50,84
07-11-2021 00:00:56,84
07-11-2021 00:01:02,84
07-11-2021 00:01:07,84
07-11-2021 00:01:13,84
07-11-2021 00:01:19,84
07-11-2021 00:01:25,84
07-11-2021 00:01:32,84
07-11-2021 00:01:38,84
07-11-2021 00:01:44,84
07-11-2021 00:01:50,84
07-11-2021 00:01:56,84
07-11-2021 00:02:01,84
07-11-2021 00:02:07,84
07-11-2021 00:02:13,84
07-11-2021 00:02:20,84
07-11-2021 00:02:22,81
07-11-2021 00:02:26,80
07-11-2021 00:02:32,78
07-11-2021 00:02:34,79
07-11-2021 00:02:40,79
07-11-2021 00:02:45,79
07-11-2021 00:02:47,77
07-11-2021 00:02:49,78
07-11-2021 00:02:51,77
07-11-2021 00:02:57,77
07-11-2021 00:03:04,77
07-11-2021 00:03:08,77
07-11-2021 00:03:14,77
07-11-2021 00:03:20,77
07-11-2021 00:03:26,77
07-11-2021 00:03:32,76
07-11-2021 00:03:47,88
07-11-2021 00:03:56,88
07-11-2021 00:04:00,90
07-11-2021 00:04:02,91
07-11-2021 00:04:08,91
07-11-2021 00:04:14,91
07-11-2021 00:04:17,87
07-11-2021 00:04:19,86
07-11-2021 00:04:21,85
07-11-2021 00:04:23,84
07-11-2021 00:04:29,84
07-11-2021 00:04:35,84
07-11-2021 00:04:41,84
07-11-2021 00:04:46,84
07-11-2021 00:04:52,84
07-11-2021 00:04:58,84
07-11-2021 00:05:04,84
07-11-2021 00:05:09,84
07-11-2021 00:05:11,83
07-11-2021 00:05:15,82
07-11-2021 00:05:17,81
07-11-2021 00:05:19,83
07-11-2021 00:05:21,84
07-11-2021 00:05:23,83
07-11-2021 00:05:29,83
07-11-2021 00:05:34,83
07-11-2021 00:05:40,83
07-11-2021 00:05:46,83
07-11-2021 00:05:52,83
07-11-2021 00:05:55,80
07-11-2021 00:05:57,78
07-11-2021 00:05:59,77
07-11-2021 00:06:01,78
07-11-2021 00:06:03,77
07-11-2021 00:06:09,77
07-11-2021 00:06:16,77
07-11-2021 00:06:20,77
07-11-2021 00:06:26,77
07-11-2021 00:06:32,77
07-11-2021 00:06:38,77
07-11-2021 00:06:43,77
07-11-2021 00:06:49,76
07-11-2021 00:06:55,76
07-11-2021 00:07:01,76
07-11-2021 00:07:04,77
07-11-2021 00:07:08,77
07-11-2021 00:07:14,77
07-11-2021 00:07:20,77
07-11-2021 00:07:26,77
07-11-2021 00:07:32,77
07-11-2021 00:07:38,77
07-11-2021 00:07:44,77
07-11-2021 00:07:52,80
07-11-2021 00:07:55,80
07-11-2021 00:07:59,81
07-11-2021 00:08:01,80
07-11-2021 00:08:03,79
07-11-2021 00:08:09,79
07-11-2021 00:08:16,79
07-11-2021 00:08:20,79
07-11-2021 00:08:26,79
07-11-2021 00:08:34,79
07-11-2021 00:08:40,79
07-11-2021 00:08:45,84
07-11-2021 00:08:47,82
07-11-2021 00:08:51,83
07-11-2021 00:08:53,82
07-11-2021 00:08:55,84
07-11-2021 00:08:57,83
07-11-2021 00:09:04,83
07-11-2021 00:09:08,83
07-11-2021 00:09:14,83
07-11-2021 00:09:20,83
07-11-2021 00:09:26,83
07-11-2021 00:09:29,81
07-11-2021 00:09:33,86
07-11-2021 00:09:35,84
07-11-2021 00:09:37,85
07-11-2021 00:09:39,84
07-11-2021 00:09:45,84
07-11-2021 00:09:52,84
07-11-2021 00:09:53,83
07-11-2021 00:09:54,84
07-11-2021 00:10:00,84
07-11-2021 00:10:06,92
07-11-2021 00:10:08,95
07-11-2021 00:10:10,100
07-11-2021 00:10:12,98
07-11-2021 00:10:14,99
07-11-2021 00:10:19,99
07-11-2021 00:10:25,99
07-11-2021 00:10:27,97
07-11-2021 00:10:29,96
07-11-2021 00:10:31,95
07-11-2021 00:10:37,95
07-11-2021 00:10:43,95
07-11-2021 00:10:54,105
07-11-2021 00:10:56,101
07-11-2021 00:10:58,99
07-11-2021 00:11:00,97
07-11-2021 00:11:02,96
07-11-2021 00:11:04,94
07-11-2021 00:11:05,93
07-11-2021 00:11:07,90
07-11-2021 00:11:09,92
07-11-2021 00:11:11,88
07-11-2021 00:11:13,87
07-11-2021 00:11:15,85
07-11-2021 00:11:17,84
07-11-2021 00:11:19,82
07-11-2021 00:11:21,81
07-11-2021 00:11:23,79
07-11-2021 00:11:25,80
07-11-2021 00:11:28,79
07-11-2021 00:11:31,78
07-11-2021 00:11:36,79
07-11-2021 00:11:38,80
07-11-2021 00:11:42,78
07-11-2021 00:11:44,80
07-11-2021 00:11:48,81
07-11-2021 00:11:53,81
07-11-2021 00:11:59,78
07-11-2021 00:12:01,77
07-11-2021 00:12:03,78
07-11-2021 00:12:05,79
07-11-2021 00:12:09,78
07-11-2021 00:12:11,80
07-11-2021 00:12:13,81
07-11-2021 00:12:16,80
07-11-2021 00:12:17,81
07-11-2021 00:12:22,81
07-11-2021 00:12:28,81
07-11-2021 00:12:30,79
